id,time,latitude,longitude
ak0202ptuy56,2020-02-28T15:37:20.449Z,60.586,-145.1209
ak0202ptvsyk,2020-02-28T15:41:15.420Z,67.6727,-157.046
ak0202pu9406,2020-02-28T16:03:27.970Z,60.4574,-153.1106
ak0202pub890,2020-02-28T16:13:15.042Z,63.029,-150.9232
ak0202pvk0lr,2020-02-28T18:22:11.416Z,61.4958,-151.9028
ak0202pw964k,2020-02-28T19:39:46.287Z,61.3278,-150.1219
ak0202pwpdb4,2020-02-28T20:15:04.454Z,60.9145,-150.9545
ak0202pwukbk,2020-02-28T20:39:28.313Z,61.677,-150.3308
ak0202px8pcq,2020-02-28T21:05:24.927Z,61.0596,-149.2749
ak0202pxi47l,2020-02-28T21:49:16.914Z,63.0335,-150.7224
ak0202py5bpf,2020-02-28T22:57:44.494Z,66.4067,-157.4879
ak0202pyeqqo,2020-02-28T23:01:37.567Z,57.2936,-154.9024
ak0202pygek8,2020-02-28T23:09:13.987Z,63.4231,-151.4163
ak0202r8vbzs,2020-02-29T01:05:02.315Z,57.2883,-152.759
ak0202r931vg,2020-02-29T01:41:02.979Z,60.0952,-147.7393
ak0202r933wg,2020-02-29T01:41:29.353Z,63.2167,-149.1405
ak0202r96ad5,2020-02-29T01:56:09.105Z,62.9222,-151.2533
ak0202ra8htv,2020-02-29T03:34:39.346Z,63.106,-144.3308
ak0202rbwnmp,2020-02-29T06:15:08.340Z,62.9408,-151.3121
ak0202rbytaf,2020-02-29T06:25:13.974Z,63.2711,-151.7152
ak0202rc3dh2,2020-02-29T06:46:42.383Z,60.135,-152.8524
ak0202rcpmj8,2020-02-29T07:50:24.207Z,61.3672,-150.0395
ak0202rd0y9k,2020-02-29T08:03:08.285Z,51.5509,178.8929
ak0202rd5a2e,2020-02-29T08:23:25.702Z,67.0998,-154.8124
ak0202rd7gl7,2020-02-29T08:33:45.236Z,61.0567,-149.2423
ak0202rdbg3n,2020-02-29T08:52:05.132Z,63.2079,-151.4947
